2017-05-13 16:43:36,019 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.rupeng:rupeng-parent:0.0.1-SNAPSHOT @ D:\Java\eclipse-jee-mars-2\workspace3\rupeng-parent\pom.xml.
2017-05-13 16:49:26,826 [Worker-2] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using NULL lifecycle mapping for MavenProject: com.rupeng:rupeng-parent:0.0.1-SNAPSHOT @ D:\Java\eclipse-jee-mars-2\workspace3\rupeng-parent\pom.xml.
2017-05-13 17:15:06,489 [Worker-22] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.rupeng:rupeng-pojo:0.0.1-SNAPSHOT @ D:\Java\eclipse-jee-mars-2\workspace3\rupeng-pojo\pom.xml.
2017-05-13 17:15:13,803 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rupeng-pojo/src/main/java
2017-05-13 17:15:13,811 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rupeng-pojo/src/main/resources
2017-05-13 17:15:13,815 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rupeng-pojo/src/test/java
2017-05-13 17:15:13,815 [Worker-22] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rupeng-pojo/src/test/resources
2017-05-13 17:15:16,393 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:15:16,531 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:15:16,551 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:15:16,558 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:16,191 [Worker-19] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.rupeng:rupeng-pojo:0.0.1-SNAPSHOT @ D:\Java\eclipse-jee-mars-2\workspace3\rupeng-pojo\pom.xml.
2017-05-13 17:16:18,130 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:18,141 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:18,150 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:18,154 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:22,208 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:22,230 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:22,235 [Worker-23] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:22,239 [Worker-23] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:51,348 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:51,363 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:16:51,370 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2017-05-13 17:16:51,374 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-05-13 17:18:36,632 [Worker-24] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: com.rupeng:rupeng-common:0.0.1-SNAPSHOT @ D:\Java\eclipse-jee-mars-2\workspace3\rupeng-common\pom.xml.
2017-05-13 17:18:36,901 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rupeng-common/src/main/java
2017-05-13 17:18:36,902 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rupeng-common/src/main/resources
2017-05-13 17:18:36,904 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /rupeng-common/src/test/java
2017-05-13 17:18:36,905 [Worker-24] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /rupeng-common/src/test/resources
