127.0.0.1 - - [23/May/2017:02:24:26 +0800] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:36 +0800] "GET /rupeng-admin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:36 +0800] "GET /rupeng-admin/adminUser/login.do HTTP/1.1" 200 3909
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:37 +0800] "GET /rupeng-admin/imageCode.do?t=1495477476891 HTTP/1.1" 200 1990
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:51 +0800] "POST /rupeng-admin/adminUser/login.do HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:52 +0800] "GET /rupeng-admin/ HTTP/1.1" 200 6055
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:52 +0800] "GET /rupeng-admin/welcome.do HTTP/1.1" 200 3248
0:0:0:0:0:0:0:1 - - [23/May/2017:02:24:56 +0800] "GET /rupeng-admin/card/list.do HTTP/1.1" 200 4354
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:00 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/default/icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:00 +0800] "GET /rupeng-admin/lib/layer/1.9.3/skin/default/loading-0.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:00 +0800] "GET /rupeng-admin/card/add.do HTTP/1.1" 200 4038
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:15 +0800] "GET /rupeng-admin/permission/list.do HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:17 +0800] "GET /rupeng-admin/permission/add.do HTTP/1.1" 200 3391
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/permission/list.do HTTP/1.1" 200 4477
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/css/H-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/lib/layer/1.9.3/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/lib/Hui-iconfont/1.0.1/iconfont.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/lib/jquery/1.9.1/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/js/H-ui.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/May/2017:02:25:19 +0800] "GET /rupeng-admin/css/H-ui.admin.css HTTP/1.1" 304 -
